Дата,Новые комментарии,Поделились,"Процент отметок ""Нравится"" (%)","Отметки ""Не нравится""","Отметки ""Нравится""",Отказались от подписки,Новые подписчики,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Просмотры,Время просмотра (часы),Средняя продолжительность просмотра
2022-09-19,2.0,10.0,100.0,0.0,23.0,0.0,4.0,201.0,476.0,1.8493,677.0,5.86,10099.0,4.0,25.91,1252.0,48.7957,0.03897420127795527
2022-09-18,0.0,6.0,93.75,1.0,15.0,1.0,8.0,170.0,476.0,1.8824,646.0,5.75,9592.0,7.0,27.38,1216.0,49.327,0.04056496710526316
2022-09-17,0.0,5.0,100.0,0.0,8.0,2.0,7.0,111.0,251.0,1.7818,362.0,4.91,6108.0,5.0,27.72,645.0,26.7775,0.041515503875968994
2022-09-16,0.0,3.0,91.67,1.0,11.0,1.0,8.0,110.0,274.0,1.9063,384.0,6.21,5712.0,7.0,25.62,732.0,27.3796,0.03740382513661202
2022-09-15,1.0,2.0,91.67,2.0,22.0,0.0,8.0,159.0,420.0,1.6598,579.0,5.15,9418.0,8.0,23.53,961.0,33.8631,0.03523735691987513
2022-09-14,1.0,49.0,88.46,3.0,23.0,4.0,8.0,176.0,427.0,1.874,603.0,5.46,10429.0,4.0,30.05,1130.0,49.4853,0.043792300884955754
2022-09-13,0.0,2.0,85.0,3.0,17.0,4.0,11.0,167.0,406.0,1.9895,573.0,6.02,8618.0,7.0,28.36,1140.0,45.3353,0.03976780701754386
2022-09-12,0.0,7.0,86.67,2.0,13.0,2.0,6.0,174.0,425.0,2.0551,599.0,4.99,9861.0,4.0,33.55,1231.0,57.6416,0.046825020308692115
2022-09-11,0.0,5.0,95.45,1.0,21.0,0.0,2.0,141.0,413.0,1.8195,554.0,6.31,6879.0,2.0,27.28,1008.0,39.8554,0.039539087301587304
2022-09-10,1.0,3.0,100.0,0.0,13.0,4.0,9.0,114.0,240.0,1.9972,354.0,5.06,4959.0,5.0,33.46,707.0,32.617,0.04613437057991513
2022-09-09,0.0,5.0,100.0,0.0,11.0,0.0,6.0,106.0,259.0,1.7863,365.0,4.07,8172.0,6.0,27.87,652.0,26.4084,0.04050368098159509
2022-09-08,1.0,5.0,84.62,2.0,11.0,2.0,10.0,172.0,361.0,2.4165,533.0,5.16,8255.0,8.0,38.37,1288.0,65.7858,0.05107593167701863
2022-09-07,1.0,9.0,87.5,1.0,7.0,1.0,9.0,143.0,336.0,2.6597,479.0,5.06,9035.0,8.0,34.1,1274.0,55.5775,0.04362441130298273
2022-09-06,0.0,17.0,93.75,1.0,15.0,1.0,8.0,118.0,325.0,1.833,443.0,5.18,7147.0,7.0,28.37,812.0,32.9925,0.04063115763546798
